,1-Year US Bond,3-Month US Bond,6-Month US Bond,1-Month US Bond
,DTB1YR,DTB3,DTB6,DGS1MO
DATE,,,,
1975-01-01,,,,
1975-01-02,6.69,6.9,6.97,
1975-01-03,6.65,6.76,6.85,
1975-01-06,6.54,6.7,6.74,
1975-01-07,6.44,6.51,6.55,
1975-01-08,6.48,6.54,6.64,
1975-01-09,6.38,6.55,6.61,
1975-01-10,6.42,6.64,6.66,
1975-01-13,6.45,6.74,6.7,
1975-01-14,6.43,6.55,6.51,
1975-01-15,6.5,6.65,6.62,
1975-01-16,6.44,6.49,6.49,
1975-01-17,6.36,6.29,6.37,
1975-01-20,6.44,6.42,6.45,
1975-01-21,6.25,6.24,6.24,
1975-01-22,6.14,6.17,6.14,
1975-01-23,6.01,5.59,5.98,
1975-01-24,5.91,5.49,5.89,
1975-01-27,5.81,5.57,5.87,
1975-01-28,5.9,5.66,5.93,
1975-01-29,5.91,5.77,5.95,
1975-01-30,5.9,5.73,5.98,
1975-01-31,5.81,5.68,5.86,
1975-02-03,5.63,5.66,5.79,
1975-02-04,5.56,5.6,5.61,
1975-02-05,5.37,5.45,5.48,
1975-02-06,5.45,5.6,5.66,
1975-02-07,5.55,5.74,5.72,
1975-02-10,5.72,5.83,5.84,
1975-02-11,5.61,5.7,5.72,
1975-02-12,,,,
1975-02-13,5.6,5.62,5.7,
1975-02-14,5.45,5.45,5.54,
1975-02-17,,,,
1975-02-18,5.38,5.32,5.36,
1975-02-19,5.42,5.3,5.4,
1975-02-20,5.45,5.23,5.46,
1975-02-21,5.5,5.16,5.5,
1975-02-24,5.57,5.32,5.59,
1975-02-25,5.63,5.44,5.64,
1975-02-26,5.78,5.62,5.78,
1975-02-27,5.74,5.56,5.71,
1975-02-28,5.64,5.4,5.6,
1975-03-03,5.72,5.59,5.75,
1975-03-04,5.73,5.62,5.7,
1975-03-05,5.68,5.53,5.62,
1975-03-06,5.63,5.53,5.63,
1975-03-07,5.68,5.58,5.69,
1975-03-10,5.69,5.64,5.69,
1975-03-11,5.61,5.48,5.55,
1975-03-12,5.61,5.41,5.54,
1975-03-13,5.58,5.4,5.52,
1975-03-14,5.59,5.38,5.5,
1975-03-17,5.62,5.41,5.52,
1975-03-18,5.63,5.42,5.53,
1975-03-19,5.7,5.49,5.61,
1975-03-20,5.66,5.35,5.51,
1975-03-21,5.7,5.4,5.54,
1975-03-24,5.77,5.55,5.62,
1975-03-25,5.81,5.54,5.7,
1975-03-26,5.84,5.52,5.73,
1975-03-27,5.83,5.49,5.7,
1975-03-28,,,,
1975-03-31,5.89,5.53,5.76,
1975-04-01,6.02,5.64,5.85,
1975-04-02,6.28,5.64,5.94,
1975-04-03,6.4,5.6,5.95,
1975-04-04,6.43,5.68,6.01,
1975-04-07,6.65,6.01,6.32,
1975-04-08,6.47,5.7,6.12,
1975-04-09,6.45,5.7,6.03,
1975-04-10,6.45,5.71,6.03,
1975-04-11,6.39,5.56,5.96,
1975-04-14,6.3,5.53,5.86,
1975-04-15,6.28,5.48,5.8,
1975-04-16,6.22,5.34,5.76,
1975-04-17,6.35,5.4,5.92,
1975-04-18,6.37,5.44,5.95,
1975-04-21,6.44,5.55,6.03,
1975-04-22,6.55,5.75,6.15,
