,SWD/USD,MEX/USD,USD/UK,USD/AUS,USD/EURO,BRZ/USD,JAP/USD,CAN/USD,CHN/USD
,DEXSDUS,DEXMXUS,DEXUSUK,DEXUSAL,DEXUSEU,DEXBZUS,DEXJPUS,DEXCAUS,DEXCHUS
DATE,,,,,,,,,
1975-01-01,,,,,,,,,
1975-01-02,4.1,,2.333,1.324,,,300.66,0.9917,
1975-01-03,4.065,,2.3414,1.3215,,,300.84,0.9919,
1975-01-06,4.0128,,2.3535,1.3245,,,301.02,0.9917,
1975-01-07,4.0355,,2.354,1.3275,,,300.93,0.9937,
1975-01-08,4.0667,,2.347,1.327,,,300.75,0.9938,
1975-01-09,4.0601,,2.35,1.3249,,,300.84,0.9966,
1975-01-10,4.0617,,2.352,1.3275,,,300.84,0.9982,
1975-01-13,4.065,,2.3531,1.326,,,300.93,0.9978,
1975-01-14,4.1017,,2.3476,1.326,,,300.93,0.9967,
1975-01-15,4.0883,,2.354,1.3235,,,301.02,0.9953,
1975-01-16,4.07,,2.3535,1.326,,,300.75,0.9932,
1975-01-17,4.0684,,2.3525,1.3265,,,300.84,0.9918,
1975-01-20,4.0469,,2.359,1.3265,,,301.02,0.9911,
1975-01-21,4.0388,,2.3635,1.329,,,300.84,0.9925,
1975-01-22,4.0486,,2.376,1.33,,,300.3,0.9933,
1975-01-23,4.0145,,2.3815,1.333,,,299.67,0.9938,
1975-01-24,4.0,,2.3835,1.335,,,295.33,0.9949,
1975-01-27,3.9386,,2.4,1.3325,,,294.99,0.9964,
1975-01-28,3.9698,,2.3865,1.3453,,,297.44,0.9962,
1975-01-29,4.0161,,2.37,1.3395,,,297.35,0.9966,
1975-01-30,4.0161,,2.3765,1.3375,,,297.8,0.9983,
1975-01-31,4.0145,,2.3825,1.336,,,297.97,0.9995,
1975-02-03,3.9936,,2.375,1.34,,,297.44,0.9999,
1975-02-04,4.0601,,2.369,1.3375,,,297.09,0.9991,
1975-02-05,4.065,,2.368,1.3345,,,297.27,0.9989,
1975-02-06,4.0502,,2.371,1.3345,,,297.0,0.9991,
1975-02-07,4.0323,,2.374,1.337,,,295.6,1.0008,
1975-02-10,4.0096,,2.3875,1.343,,,292.4,1.0026,
1975-02-11,4.008,,2.384,1.3455,,,291.63,1.0047,
1975-02-12,,,,,,,,,
1975-02-13,3.992,,2.3895,1.3455,,,292.83,1.0023,
1975-02-14,3.9793,,2.3905,1.3475,,,293.26,1.0021,
1975-02-17,,,,,,,,,
1975-02-18,3.9698,,2.3933,1.3475,,,293.34,1.0038,
1975-02-19,3.9714,,2.398,1.3475,,,291.55,1.0023,
1975-02-20,3.9479,,2.4005,1.35,,,291.12,1.0016,
